DATE,FLLFN
1976-01-01,3515001
1976-02-01,3532354
1976-03-01,3543627
1976-04-01,3556268
1976-05-01,3559671
1976-06-01,3655715
1976-07-01,3702995
1976-08-01,3688625
1976-09-01,3623959
1976-10-01,3630623
1976-11-01,3609550
1976-12-01,3609332
1977-01-01,3555061
1977-02-01,3571271
1977-03-01,3611372
1977-04-01,3632638
1977-05-01,3667357
1977-06-01,3776337
1977-07-01,3798303
1977-08-01,3808634
1977-09-01,3786622
1977-10-01,3815715
1977-11-01,3830092
1977-12-01,3837541
1978-01-01,3798470
1978-02-01,3810632
1978-03-01,3845488
1978-04-01,3873134
1978-05-01,3907354
1978-06-01,4033241
1978-07-01,4058858
1978-08-01,4052627
1978-09-01,4028023
1978-10-01,4055205
1978-11-01,4039973
1978-12-01,4046441
1979-01-01,4010596
1979-02-01,4037534
1979-03-01,4071081
1979-04-01,4050327
1979-05-01,4073883
1979-06-01,4177321
1979-07-01,4239894
1979-08-01,4211391
1979-09-01,4203741
1979-10-01,4205726
1979-11-01,4162642
1979-12-01,4184888
1980-01-01,4137118
1980-02-01,4155973
1980-03-01,4176885
1980-04-01,4180938
1980-05-01,4219456
1980-06-01,4297859
1980-07-01,4364855
1980-08-01,4359842
1980-09-01,4349735
1980-10-01,4365338
1980-11-01,4347661
1980-12-01,4336488
1981-01-01,4326478
1981-02-01,4346334
1981-03-01,4422433
1981-04-01,4472660
1981-05-01,4540649
1981-06-01,4570113
1981-07-01,4646574
1981-08-01,4641577
1981-09-01,4587528
1981-10-01,4616745
1981-11-01,4595953
1981-12-01,4562063
1982-01-01,4517569
1982-02-01,4561685
1982-03-01,4607784
1982-04-01,4629204
1982-05-01,4727211
1982-06-01,4779422
1982-07-01,4854594
1982-08-01,4861514
1982-09-01,4834868
1982-10-01,4813889
1982-11-01,4796036
1982-12-01,4769712
1983-01-01,4720739
1983-02-01,4725664
1983-03-01,4758338
1983-04-01,4774750
1983-05-01,4835597
1983-06-01,4992569
1983-07-01,5071694
1983-08-01,5090303
1983-09-01,5063308
1983-10-01,5034388
1983-11-01,5037317
1983-12-01,5024707
1984-01-01,4958331
1984-02-01,4994492
1984-03-01,5030748
1984-04-01,5062418
1984-05-01,5156966
1984-06-01,5243709
1984-07-01,5296695
1984-08-01,5261161
1984-09-01,5244264
1984-10-01,5238039
1984-11-01,5223747
1984-12-01,5229044
1985-01-01,5194357
1985-02-01,5212328
1985-03-01,5279655
1985-04-01,5278818
1985-05-01,5326741
1985-06-01,5367572
1985-07-01,5437434
1985-08-01,5426438
1985-09-01,5415504
1985-10-01,5404791
1985-11-01,5384164
1985-12-01,5384077
1986-01-01,5368639
1986-02-01,5372979
1986-03-01,5446019
1986-04-01,5463630
1986-05-01,5548694
1986-06-01,5658540
1986-07-01,5725697
1986-08-01,5723954
