L8.ln_fl_bp,-0.000387,-0.00420,,0.0136***
,(-0.07),(-0.85),,(3.63)
,,,,
L9.ln_fl_bp,0.00169,-0.000756,,
,(0.31),(-0.15),,
,,,,
L10.ln_fl_bp,-0.00665,-0.000510,,
,(-1.26),(-0.11),,
,,,,
L11.ln_fl_bp,-0.00371,-0.00598,,
,(-0.71),(-1.28),,
,,,,
L12.ln_fl_bp,-0.00590,-0.00341,,
,(-1.18),(-0.77),,
,,,,
ln_us_epr,0.777**,0.439,0.257,0.126
,(2.76),(1.26),(0.76),(0.36)
,,,,
L.ln_us_epr,-0.407,0.189,0.00601,0.319
,(-1.03),(0.41),(0.01),(0.68)
,,,,
L2.ln_us_epr,-0.370,-0.0716,-0.0172,0.149
,(-0.94),(-0.15),(-0.04),(0.31)
,,,,
L3.ln_us_epr,-0.428,0.185,0.961**,-0.119
,(-1.10),(0.39),(2.84),(-0.25)
,,,,
L4.ln_us_epr,0.244,0.157,,0.185
,(0.61),(0.33),,(0.47)
,,,,
L5.ln_us_epr,1.049**,-0.0987,,
,(2.62),(-0.21),,
,,,,
L6.ln_us_epr,0.868*,0.307,,
,(2.18),(0.65),,
,,,,
L7.ln_us_epr,-0.212,0.0339,,
,(-0.53),(0.07),,
,,,,
L8.ln_us_epr,0.500,0.0443,,0.321
,(1.24),(0.09),,(1.93)
,,,,
L9.ln_us_epr,-0.181,-0.0254,,
,(-0.46),(-0.05),,
,,,,
L10.ln_us_epr,-0.290,0.0140,,
,(-0.75),(0.03),,
,,,,
L11.ln_us_epr,0.0899,0.489,,
,(0.23),(1.03),,
,,,,
L12.ln_us_epr,-0.598*,-0.423,,
,(-2.23),(-1.21),,
