,ln_fl_nonfarm,ln_fl_nonfarm,ln_fl_nonfarm,ln_fl_nonfarm
,,,,
ln_fl_lf,0.239,0.399,0.677*,0.538*
,(0.93),(1.47),(2.51),(2.04)
,,,,
L.ln_fl_lf,-0.000633,-0.0604,0.0217,-0.0132
,(-0.00),(-0.17),(0.06),(-0.04)
,,,,
L2.ln_fl_lf,0.427,0.0361,0.0124,-0.0174
,(1.25),(0.10),(0.03),(-0.05)
,,,,
L3.ln_fl_lf,0.660,0.110,0.183,0.309
,(1.93),(0.30),(0.67),(0.83)
,,,,
L4.ln_fl_lf,-0.255,0.00885,,0.0243
,(-0.74),(0.02),,(0.08)
,,,,
L5.ln_fl_lf,-0.531,0.0333,,
,(-1.55),(0.09),,
,,,,
L6.ln_fl_lf,-0.102,0.146,,
,(-0.30),(0.39),,
,,,,
L7.ln_fl_lf,0.209,0.174,,
,(0.60),(0.47),,
,,,,
L8.ln_fl_lf,-0.153,-0.0242,,-0.132
,(-0.44),(-0.06),,(-0.92)
,,,,
L9.ln_fl_lf,0.378,0.110,,
,(1.10),(0.29),,
,,,,
L10.ln_fl_lf,-0.000297,0.157,,
,(-0.00),(0.41),,
,,,,
L11.ln_fl_lf,0.0117,-0.231,,
,(0.03),(-0.61),,
,,,,
L12.ln_fl_lf,0.264,0.0559,,
,(1.02),(0.20),,
,,,,
ln_fl_bp,0.0200***,0.0179***,0.0220***,0.00998*
,(4.25),(4.11),(5.03),(2.42)
,,,,
L.ln_fl_bp,0.00910,0.00856,0.00999*,0.00831
,(1.81),(1.81),(2.19),(1.91)
,,,,
L2.ln_fl_bp,0.0121*,0.00629,0.00508,0.00386
,(2.33),(1.30),(1.11),(0.85)
,,,,
L3.ln_fl_bp,0.00308,0.00673,0.00385,0.00568
,(0.57),(1.36),(0.86),(1.27)
,,,,
L4.ln_fl_bp,0.00156,0.00414,,0.00462
,(0.29),(0.84),,(1.06)
,,,,
L5.ln_fl_bp,0.00631,0.00388,,
,(1.16),(0.78),,
,,,,
L6.ln_fl_bp,0.00648,0.00486,,
,(1.18),(0.97),,
,,,,
L7.ln_fl_bp,0.00215,0.00471,,
,(0.40),(0.96),,
,,,,
L8.ln_fl_bp,-0.000387,-0.00420,,0.0136***
,(-0.07),(-0.85),,(3.63)
,,,,
L9.ln_fl_bp,0.00169,-0.000756,,
,(0.31),(-0.15),,
,,,,
L10.ln_fl_bp,-0.00665,-0.000510,,
,(-1.26),(-0.11),,
,,,,
L11.ln_fl_bp,-0.00371,-0.00598,,
,(-0.71),(-1.28),,
,,,,
L12.ln_fl_bp,-0.00590,-0.00341,,
,(-1.18),(-0.77),,
,,,,
ln_us_epr,0.777**,0.439,0.257,0.126
,(2.76),(1.26),(0.76),(0.36)
,,,,
L.ln_us_epr,-0.407,0.189,0.00601,0.319
,(-1.03),(0.41),(0.01),(0.68)
,,,,
L2.ln_us_epr,-0.370,-0.0716,-0.0172,0.149
,(-0.94),(-0.15),(-0.04),(0.31)
,,,,
L3.ln_us_epr,-0.428,0.185,0.961**,-0.119
,(-1.10),(0.39),(2.84),(-0.25)
,,,,
L4.ln_us_epr,0.244,0.157,,0.185
,(0.61),(0.33),,(0.47)
,,,,
L5.ln_us_epr,1.049**,-0.0987,,
,(2.62),(-0.21),,
,,,,
L6.ln_us_epr,0.868*,0.307,,
,(2.18),(0.65),,
,,,,
L7.ln_us_epr,-0.212,0.0339,,
,(-0.53),(0.07),,
,,,,
L8.ln_us_epr,0.500,0.0443,,0.321
,(1.24),(0.09),,(1.93)
,,,,
L9.ln_us_epr,-0.181,-0.0254,,
,(-0.46),(-0.05),,
,,,,
L10.ln_us_epr,-0.290,0.0140,,
,(-0.75),(0.03),,
,,,,
L11.ln_us_epr,0.0899,0.489,,
,(0.23),(1.03),,
,,,,
L12.ln_us_epr,-0.598*,-0.423,,
,(-2.23),(-1.21),,
,,,,
datec,,0.0000121***,0.0000129***,0.0000170***
,,(7.29),(8.05),(11.29)
,,,,
1.monthly,,0,0,0
,,(.),(.),(.)
,,,,
2.monthly,,0.00993,0.00804,0.00782
,,(1.41),(1.47),(1.48)
,,,,
3.monthly,,0.0118,0.0113,0.0124
,,(1.53),(1.82),(1.89)
,,,,
4.monthly,,0.0108,0.0200***,0.00909
,,(1.27),(3.65),(1.25)
,,,,
5.monthly,,0.00556,0.00956*,0.00656
,,(0.91),(2.07),(1.29)
,,,,
6.monthly,,-0.00774,-0.0102,-0.0121*
,,(-1.05),(-1.91),(-2.13)
,,,,
7.monthly,,-0.0180*,-0.0294***,-0.0230***
,,(-2.48),(-5.96),(-4.51)
,,,,
8.monthly,,-0.00841,-0.0226***,-0.0130**
,,(-1.09),(-5.84),(-2.93)
,,,,
9.monthly,,-0.00722,-0.0213***,-0.00983*
,,(-1.18),(-5.86),(-2.48)
,,,,
10.monthly,,-0.00457,-0.0179**,-0.00346
,,(-0.55),(-3.13),(-0.58)
,,,,
11.monthly,,0.00947,0.00305,0.00655
,,(1.24),(0.58),(1.16)
,,,,
12.monthly,,0.0199**,0.0158***,0.0135**
,,(2.72),(3.87),(2.92)
,,,,
_cons,-14.11***,-11.38***,-10.94***,-7.172***
,(-67.53),(-26.72),(-27.77),(-13.45)
,,,,
N,371,371,380,263
,,,,
t statistics in parentheses,,,,
"=""* p<0.05", ** p<0.01," *** p<0.001""",,
