
="",="(1)",="(2)",="(3)",="(4)"
="",="D.ln_fl_nonfarm",="D.ln_fl_nonfarm",="D.ln_fl_nonfarm",="D.ln_fl_nonfarm"

="LD.ln_fl_nonfarm",="-0.0929",="-0.0929",="-0.0929",="-0.0929"
="",="(-1.61)",="(-1.61)",="(-1.61)",="(-1.61)"

="L12D.ln_fl_nonfarm",="0.422**",="0.422**",="0.422**",="0.422**"
="",="(2.91)",="(2.91)",="(2.91)",="(2.91)"

="L24D.ln_fl_nonfarm",="0.312*",="0.312*",="0.312*",="0.312*"
="",="(2.52)",="(2.52)",="(2.52)",="(2.52)"

="LD.ln_fl_lf",="-0.0662",="-0.0662",="-0.0662",="-0.0662"
="",="(-0.81)",="(-0.81)",="(-0.81)",="(-0.81)"

="L2D.ln_fl_lf",="-0.0681",="-0.0681",="-0.0681",="-0.0681"
="",="(-0.61)",="(-0.61)",="(-0.61)",="(-0.61)"

="L3D.ln_fl_lf",="0.102",="0.102",="0.102",="0.102"
="",="(1.05)",="(1.05)",="(1.05)",="(1.05)"

="L4D.ln_fl_lf",="-0.0422",="-0.0422",="-0.0422",="-0.0422"
="",="(-0.49)",="(-0.49)",="(-0.49)",="(-0.49)"

="L5D.ln_fl_lf",="-0.223*",="-0.223*",="-0.223*",="-0.223*"
="",="(-2.11)",="(-2.11)",="(-2.11)",="(-2.11)"

="L6D.ln_fl_lf",="-0.0603",="-0.0603",="-0.0603",="-0.0603"
="",="(-0.48)",="(-0.48)",="(-0.48)",="(-0.48)"

="L7D.ln_fl_lf",="0.207*",="0.207*",="0.207*",="0.207*"
="",="(2.06)",="(2.06)",="(2.06)",="(2.06)"

="L8D.ln_fl_lf",="-0.0871",="-0.0871",="-0.0871",="-0.0871"
="",="(-0.82)",="(-0.82)",="(-0.82)",="(-0.82)"

="L9D.ln_fl_lf",="0.230",="0.230",="0.230",="0.230"
="",="(1.46)",="(1.46)",="(1.46)",="(1.46)"

="L10D.ln_fl_lf",="0.110",="0.110",="0.110",="0.110"
="",="(1.01)",="(1.01)",="(1.01)",="(1.01)"

="L11D.ln_fl_lf",="-0.116",="-0.116",="-0.116",="-0.116"
="",="(-0.92)",="(-0.92)",="(-0.92)",="(-0.92)"

="L12D.ln_fl_lf",="0.0590",="0.0590",="0.0590",="0.0590"
="",="(0.58)",="(0.58)",="(0.58)",="(0.58)"

="LD.ln_fl_bp",="0.00324",="0.00324",="0.00324",="0.00324"
="",="(1.51)",="(1.51)",="(1.51)",="(1.51)"

="L2D.ln_fl_bp",="0.00535*",="0.00535*",="0.00535*",="0.00535*"
="",="(2.25)",="(2.25)",="(2.25)",="(2.25)"

="L3D.ln_fl_bp",="0.00303",="0.00303",="0.00303",="0.00303"
="",="(0.93)",="(0.93)",="(0.93)",="(0.93)"

="L4D.ln_fl_bp",="0.00354",="0.00354",="0.00354",="0.00354"
="",="(1.03)",="(1.03)",="(1.03)",="(1.03)"

="L5D.ln_fl_bp",="0.00431",="0.00431",="0.00431",="0.00431"
="",="(1.49)",="(1.49)",="(1.49)",="(1.49)"

="L6D.ln_fl_bp",="0.00207",="0.00207",="0.00207",="0.00207"
="",="(0.74)",="(0.74)",="(0.74)",="(0.74)"

="L7D.ln_fl_bp",="0.00497",="0.00497",="0.00497",="0.00497"
="",="(1.31)",="(1.31)",="(1.31)",="(1.31)"

="L8D.ln_fl_bp",="0.00534",="0.00534",="0.00534",="0.00534"
="",="(1.84)",="(1.84)",="(1.84)",="(1.84)"

="L9D.ln_fl_bp",="0.00575*",="0.00575*",="0.00575*",="0.00575*"
="",="(2.10)",="(2.10)",="(2.10)",="(2.10)"

="L10D.ln_fl_bp",="0.00532*",="0.00532*",="0.00532*",="0.00532*"
="",="(2.08)",="(2.08)",="(2.08)",="(2.08)"

="L11D.ln_fl_bp",="0.00547*",="0.00547*",="0.00547*",="0.00547*"
="",="(2.46)",="(2.46)",="(2.46)",="(2.46)"

="L12D.ln_fl_bp",="0.00431**",="0.00431**",="0.00431**",="0.00431**"
="",="(3.22)",="(3.22)",="(3.22)",="(3.22)"

="L24D.ln_fl_bp",="-0.00279",="-0.00279",="-0.00279",="-0.00279"
="",="(-1.44)",="(-1.44)",="(-1.44)",="(-1.44)"

="LD.ln_us_epr",="-0.00548",="-0.00548",="-0.00548",="-0.00548"
="",="(-0.04)",="(-0.04)",="(-0.04)",="(-0.04)"

="L2D.ln_us_epr",="0.0952",="0.0952",="0.0952",="0.0952"
="",="(0.69)",="(0.69)",="(0.69)",="(0.69)"

="L3D.ln_us_epr",="-0.159",="-0.159",="-0.159",="-0.159"
="",="(-1.47)",="(-1.47)",="(-1.47)",="(-1.47)"

