
="",="(1)"
="",="D.ln_fl_nonfarm"

="LD.ln_fl_nonfarm",="-0.0926*"
="",="(-2.04)"

="L12D.ln_fl_nonfarm",="0.444***"
="",="(6.45)"

="L24D.ln_fl_nonfarm",="0.292***"
="",="(4.57)"

="LD.ln_fl_lf",="-0.0557"
="",="(-0.48)"

="L2D.ln_fl_lf",="-0.0576"
="",="(-0.49)"

="L3D.ln_fl_lf",="0.135"
="",="(1.15)"

="L4D.ln_fl_lf",="-0.0342"
="",="(-0.29)"

="L5D.ln_fl_lf",="-0.234"
="",="(-1.97)"

="L6D.ln_fl_lf",="-0.0588"
="",="(-0.51)"

="L7D.ln_fl_lf",="0.229*"
="",="(2.00)"

="L8D.ln_fl_lf",="-0.107"
="",="(-0.91)"

="L9D.ln_fl_lf",="0.255*"
="",="(2.10)"

="L10D.ln_fl_lf",="0.127"
="",="(1.07)"

="L11D.ln_fl_lf",="-0.131"
="",="(-1.14)"

="L12D.ln_fl_lf",="-0.00833"
="",="(-0.07)"

="L24D.ln_fl_lf",="0.0975"
="",="(0.77)"

="LD.ln_fl_bp",="0.00323"
="",="(1.64)"

="L2D.ln_fl_bp",="0.00593*"
="",="(2.49)"

="L3D.ln_fl_bp",="0.00365"
="",="(1.44)"

="L4D.ln_fl_bp",="0.00456"
="",="(1.76)"

="L5D.ln_fl_bp",="0.00474"
="",="(1.80)"

="L6D.ln_fl_bp",="0.00209"
="",="(0.81)"

="L7D.ln_fl_bp",="0.00500*"
="",="(1.99)"

="L8D.ln_fl_bp",="0.00516*"
="",="(2.07)"

="L9D.ln_fl_bp",="0.00572*"
="",="(2.32)"

="L10D.ln_fl_bp",="0.00476"
="",="(1.91)"

="L11D.ln_fl_bp",="0.00554*"
="",="(2.30)"

="L12D.ln_fl_bp",="0.00390"
="",="(1.91)"

="L24D.ln_fl_bp",="-0.00257"
="",="(-1.55)"

="LD.ln_us_epr",="-0.0128"
="",="(-0.10)"

="L2D.ln_us_epr",="0.0769"
="",="(0.59)"

="L3D.ln_us_epr",="-0.208"
="",="(-1.55)"

="L4D.ln_us_epr",="-0.0293"
="",="(-0.22)"

="L5D.ln_us_epr",="0.406**"
="",="(2.86)"

="L6D.ln_us_epr",="0.0825"
="",="(0.59)"

="L7D.ln_us_epr",="-0.320**"
="",="(-2.61)"

="L8D.ln_us_epr",="0.207"
="",="(1.59)"

="L9D.ln_us_epr",="-0.310*"
="",="(-2.36)"

="L10D.ln_us_epr",="-0.264*"
="",="(-2.10)"

="L11D.ln_us_epr",="0.145"
="",="(1.19)"

="L12D.ln_us_epr",="0.0455"
="",="(0.31)"

="L24D.ln_us_epr",="-0.221"
="",="(-1.43)"

="4.month",="0"
="",="(.)"

="5.month",="-0.00275"
="",="(-1.84)"

="6.month",="-0.00170"
="",="(-0.81)"

="7.month",="-0.00373"
="",="(-1.31)"

="8.month",="-0.00517"
="",="(-1.36)"

="9.month",="-0.00554"
="",="(-1.23)"

="10.month",="-0.00606"
="",="(-1.15)"

="11.month",="-0.00801"
="",="(-1.30)"

="12.month",="-0.00877"
="",="(-1.27)"

="mdate",="0.0000352"
="",="(1.23)"

="_cons",="-0.0161"
="",="(-1.19)"

="N",="263"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
