
="",="(1)"
="",="D.ln_fl_nonfarm"

="LD.ln_fl_nonfarm",="-0.0929*"
="",="(-2.05)"

="L12D.ln_fl_nonfarm",="0.422***"
="",="(6.24)"

="L24D.ln_fl_nonfarm",="0.312***"
="",="(4.96)"

="LD.ln_fl_lf",="-0.0662"
="",="(-0.58)"

="L2D.ln_fl_lf",="-0.0681"
="",="(-0.58)"

="L3D.ln_fl_lf",="0.102"
="",="(0.89)"

="L4D.ln_fl_lf",="-0.0422"
="",="(-0.36)"

="L5D.ln_fl_lf",="-0.223"
="",="(-1.91)"

="L6D.ln_fl_lf",="-0.0603"
="",="(-0.53)"

="L7D.ln_fl_lf",="0.207"
="",="(1.82)"

="L8D.ln_fl_lf",="-0.0871"
="",="(-0.76)"

="L9D.ln_fl_lf",="0.230"
="",="(1.94)"

="L10D.ln_fl_lf",="0.110"
="",="(0.93)"

="L11D.ln_fl_lf",="-0.116"
="",="(-1.02)"

="L12D.ln_fl_lf",="0.0590"
="",="(0.53)"

="LD.ln_fl_bp",="0.00324"
="",="(1.67)"

="L2D.ln_fl_bp",="0.00535*"
="",="(2.27)"

="L3D.ln_fl_bp",="0.00303"
="",="(1.21)"

="L4D.ln_fl_bp",="0.00354"
="",="(1.39)"

="L5D.ln_fl_bp",="0.00431"
="",="(1.64)"

="L6D.ln_fl_bp",="0.00207"
="",="(0.80)"

="L7D.ln_fl_bp",="0.00497*"
="",="(1.97)"

="L8D.ln_fl_bp",="0.00534*"
="",="(2.14)"

="L9D.ln_fl_bp",="0.00575*"
="",="(2.34)"

="L10D.ln_fl_bp",="0.00532*"
="",="(2.14)"

="L11D.ln_fl_bp",="0.00547*"
="",="(2.28)"

="L12D.ln_fl_bp",="0.00431*"
="",="(2.13)"

="L24D.ln_fl_bp",="-0.00279"
="",="(-1.72)"

="LD.ln_us_epr",="-0.00548"
="",="(-0.04)"

="L2D.ln_us_epr",="0.0952"
="",="(0.73)"

="L3D.ln_us_epr",="-0.159"
="",="(-1.26)"

="L4D.ln_us_epr",="-0.0286"
="",="(-0.21)"

="L5D.ln_us_epr",="0.415**"
="",="(2.95)"

="L6D.ln_us_epr",="0.0994"
="",="(0.71)"

="L7D.ln_us_epr",="-0.303*"
="",="(-2.48)"

="L8D.ln_us_epr",="0.179"
="",="(1.40)"

="L9D.ln_us_epr",="-0.278*"
="",="(-2.21)"

="L10D.ln_us_epr",="-0.243"
="",="(-1.95)"

="L11D.ln_us_epr",="0.125"
="",="(1.04)"

="L12D.ln_us_epr",="-0.0988"
="",="(-0.83)"

="4.month",="0"
="",="(.)"

="5.month",="-0.00158"
="",="(-1.34)"

="6.month",="0.000785"
="",="(0.74)"

="7.month",="-0.000504"
="",="(-0.45)"

="8.month",="-0.000851"
="",="(-0.54)"

="9.month",="0.000291"
="",="(0.27)"

="10.month",="0.000372"
="",="(0.33)"

="11.month",="-0.000567"
="",="(-0.58)"

="12.month",="-0.000287"
="",="(-0.25)"

="_cons",="0.000549"
="",="(0.54)"

="N",="263"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
