
="",="(1)"
="",="D.ln_fl_nonfarm"

="D.ln_fl_bp",="-0.00665"
="",="(-1.85)"

="LD.ln_fl_bp",="-0.0150***"
="",="(-4.13)"

="L2D.ln_fl_bp",="-0.00222"
="",="(-0.52)"

="L3D.ln_fl_bp",="-0.00474"
="",="(-0.99)"

="L4D.ln_fl_bp",="-0.00517"
="",="(-1.43)"

="1.month",="0"
="",="(.)"

="2.month",="0.00395*"
="",="(2.03)"

="3.month",="0.00343"
="",="(1.73)"

="4.month",="0.00264"
="",="(1.40)"

="5.month",="0.00100"
="",="(0.54)"

="6.month",="0.00322"
="",="(1.75)"

="7.month",="-0.000281"
="",="(-0.13)"

="8.month",="-0.00391"
="",="(-1.69)"

="9.month",="0.00309"
="",="(1.69)"

="10.month",="0.00331"
="",="(1.76)"

="11.month",="0.00261"
="",="(1.40)"

="12.month",="0.00279"
="",="(1.61)"

="_cons",="-0.000245"
="",="(-0.17)"

="N",="378"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
