DATE	MIAM112NAN	MIMAGRIDX	SMU12331000500000002SA	SMU12331000500000003	SMU12331000500000011	SMU12331000600000001
1990-01-01	1692.7					274.6
1990-02-01	1706.6	0.70				274.9
1990-03-01	1724.5	3.10				275.8
1990-04-01	1701.6	-1.04				271.2
1990-05-01	1705.5	0.09				271.0
1990-06-01	1697.2	1.93				271.3
1990-07-01	1654.2	-0.46				266.0
1990-08-01	1656.0	0.74				267.2
1990-09-01	1677.5	-0.06				265.7
1990-10-01	1690.6	-0.22				263.5
1990-11-01	1704.0	-1.33				261.6
1990-12-01	1716.9	-0.97				258.5
1991-01-01	1669.7	-3.07				246.0
1991-02-01	1671.1	-1.38				245.6
1991-03-01	1676.9	-1.75				244.1
1991-04-01	1658.8	-2.82				239.3
1991-05-01	1658.2	2.16				240.4
1991-06-01	1651.1	0.07				240.1
1991-07-01	1614.2	1.56				236.8
1991-08-01	1620.0	2.10				238.9
1991-09-01	1638.9	-0.54				238.0
1991-10-01	1640.7	-0.39				236.8
1991-11-01	1668.7	2.41				237.6
1991-12-01	1674.6	-3.34				234.5
1992-01-01	1649.1	3.69				226.9
1992-02-01	1658.3	0.04				227.9
1992-03-01	1680.3	1.85				228.7
1992-04-01	1664.8	4.59				228.5
1992-05-01	1664.2	1.37				230.0
1992-06-01	1659.8	1.06				231.2
1992-07-01	1626.9	2.36				229.5
1992-08-01	1620.5	-4.24				229.6
1992-09-01	1654.4	9.42				235.1
1992-10-01	1681.2	13.92				242.1
1992-11-01	1703.0	4.29				244.8
1992-12-01	1728.4	3.74				245.9
1993-01-01	1697.3	2.14				237.9
1993-02-01	1719.8	6.21				242.3
1993-03-01	1733.8	2.28				243.2
1993-04-01	1738.2	8.03				244.3
1993-05-01	1733.0	1.78				245.2
1993-06-01	1732.1	3.12				246.3
1993-07-01	1705.1	3.20				243.3
1993-08-01	1705.0	1.82				244.5
1993-09-01	1731.1	2.33				244.9
1993-10-01	1754.1	3.83				245.2
1993-11-01	1775.7	1.63				245.1
1993-12-01	1797.7	5.01				246.2
1994-01-01	1763.4	0.69				237.4
1994-02-01	1784.7	3.55				240.3
1994-03-01	1802.5	4.18				242.0
1994-04-01	1797.3	3.31				240.7
1994-05-01	1799.0	4.18				242.8
1994-06-01	1797.7	3.91				244.6
1994-07-01	1763.0	5.07				242.8
1994-08-01	1766.4	2.25				244.4
1994-09-01	1796.8	3.54				245.9
1994-10-01	1807.4	-2.10				243.4
1994-11-01	1845.2	3.32				244.3
1994-12-01	1860.2	3.96				245.5
1995-01-01	1827.1	9.28				242.1
1995-02-01	1846.9	3.08				245.4
1995-03-01	1866.1	2.67				247.1
1995-04-01	1846.0	2.10				245.5
1995-05-01	1850.7	2.05				246.8
1995-06-01	1849.9	2.81				248.3
1995-07-01	1805.1	1.09				244.4
1995-08-01	1813.5	3.32				246.6
1995-09-01	1849.9	5.38				249.5
1995-10-01	1861.3	0.30				248.7
1995-11-01	1891.9	3.33				249.7
1995-12-01	1913.5	1.55				249.9
1996-01-01	1874.9	5.67				244.7
1996-02-01	1897.0	4.86				248.3
1996-03-01	1922.9	3.12				249.8
1996-04-01	1897.4	-1.04				245.5
1996-05-01	1903.8	4.15				247.2
1996-06-01	1902.7	2.81				248.3
1996-07-01	1863.6	3.32				245.0
1996-08-01	1872.5	4.92				247.7
1996-09-01	1908.2	1.89				248.7
1996-10-01	1922.2	6.18				250.9
1996-11-01	1951.9	4.15				252.1
1996-12-01	1979.8	3.22				252.9
1997-01-01	1944.6	3.06				246.1
1997-02-01	1962.8	2.03				247.4
1997-03-01	1979.2	4.04				249.1
1997-04-01	1978.0	4.70				247.1
1997-05-01	1984.1	4.01				248.5
1997-06-01	1981.9	0.20				248.2
1997-07-01	1949.2	8.40				247.5
1997-08-01	1957.9	4.56				250.1
1997-09-01	1994.2	4.54				252.5
1997-10-01	2009.6	2.23				252.8
1997-11-01	2035.0	2.52				253.4
1997-12-01	2061.7	2.80				254.5
1998-01-01	2019.4	2.71				248.3
1998-02-01	2034.2	2.62				250.2
1998-03-01	2052.4	3.01				252.0
1998-04-01	2029.5	1.07				248.6
1998-05-01	2033.7	2.91				249.8
1998-06-01	2036.0	4.28				251.8
1998-07-01	1997.9	1.93				247.7
1998-08-01	1999.0	1.29				248.3
1998-09-01	2032.1	3.06				249.6
1998-10-01	2056.0	5.36				251.3
1998-11-01	2079.8	1.53				251.2
1998-12-01	2112.4	3.91				252.8
1999-01-01	2058.1	0.82				245.9
1999-02-01	2082.5	2.62				247.6
1999-03-01	2097.4	2.45				249.4
1999-04-01	2080.1	7.65				249.9
1999-05-01	2086.9	0.67				250.3
1999-06-01	2091.7	2.19				251.5
1999-07-01	2048.1	2.99				248.5
1999-08-01	2050.7	1.46				249.6
1999-09-01	2081.7	0.28				249.9
1999-10-01	2101.3	7.73				253.4
1999-11-01	2130.4	2.70				254.4
1999-12-01	2166.5	2.81				255.8
2000-01-01	2121.3	3.37				250.5
2000-02-01	2134.5	2.65				252.2
2000-03-01	2153.4	4.14				254.7
2000-04-01	2152.0	3.57				252.7
2000-05-01	2162.9	4.13				254.6
2000-06-01	2160.6	2.23				255.4
2000-07-01	2122.1	3.39				252.2
2000-08-01	2135.9	2.71				253.5
2000-09-01	2169.2	3.45				254.9
2000-10-01	2172.3	1.33				254.4
2000-11-01	2206.2	3.66				255.5
2000-12-01	2232.9	1.69				255.9
2001-01-01	2189.9	2.98				250.2
2001-02-01	2208.1	2.16				250.9
2001-03-01	2224.7	0.67				251.0
2001-04-01	2207.7	0.70				247.5
2001-05-01	2208.8	0.74				247.5
2001-06-01	2204.5	1.51				247.9
2001-07-01	2157.0	-0.10				243.5
2001-08-01	2165.1	1.37				244.7
2001-09-01	2192.6	-1.25				244.3
2001-10-01	2190.9	-1.34				243.0
2001-11-01	2210.0	-0.69				242.6
2001-12-01	2229.7	0.48				242.7
2002-01-01	2188.5	0.26				236.4
2002-02-01	2198.0	0.99				236.4
2002-03-01	2217.1	1.47				236.7
2002-04-01	2201.0	2.49				234.4
2002-05-01	2206.1	2.71				235.2
2002-06-01	2197.7	1.89				235.5
2002-07-01	2152.2	1.45				231.9
2002-08-01	2161.6	1.99				233.0
2002-09-01	2193.3	1.80				233.6
2002-10-01	2201.4	2.67				233.4
2002-11-01	2225.7	1.69				233.7
2002-12-01	2249.7	1.27				233.9
2003-01-01	2203.2	0.91				228.4
2003-02-01	2219.2	1.19				228.6
2003-03-01	2231.5	0.79				228.8
2003-04-01	2213.6	-0.96				225.6
2003-05-01	2210.7	0.88				226.1
2003-06-01	2196.4	0.49				226.4
2003-07-01	2151.2	2.20				224.0
2003-08-01	2158.6	2.98				226.1
2003-09-01	2189.4	2.48				227.6
2003-10-01	2207.1	3.04				227.7
2003-11-01	2217.0	-1.96				226.6
2003-12-01	2244.8	4.11				228.5
2004-01-01	2217.9	5.02				225.6
2004-02-01	2237.5	2.78				227.2
2004-03-01	2254.7	4.63				229.8
2004-04-01	2259.7	5.17				230.1
2004-05-01	2260.2	1.99				231.7
2004-06-01	2250.8	2.33				233.5
2004-07-01	2219.3	6.22				233.5
2004-08-01	2229.4	2.49				235.9
2004-09-01	2245.0	-2.65				235.6
2004-10-01	2280.5	7.70				238.2
2004-11-01	2311.7	3.51				240.2
2004-12-01	2339.9	2.23				241.9
2005-01-01	2295.6	4.19				239.0
2005-02-01	2319.4	2.36				241.1
2005-03-01	2330.1	1.57				242.8
2005-04-01	2345.2	7.66				244.8
2005-05-01	2347.5	2.34				247.2
2005-06-01	2320.2	2.53				249.8
2005-07-01	2306.7	7.66				250.9
2005-08-01	2346.5	1.36				253.3
2005-09-01	2362.3	2.22				256.3
2005-10-01	2357.5	1.33				256.5
2005-11-01	2376.5	0.14				257.8
2005-12-01	2409.5	2.12				260.2
2006-01-01	2365.8	2.13				256.3
2006-02-01	2389.2	3.36				259.8
2006-03-01	2410.0	1.92				262.4
2006-04-01	2396.5	5.57				263.8
2006-05-01	2407.0	2.63				266.9
2006-06-01	2383.6	2.51				269.8
2006-07-01	2352.4	2.19				267.5
2006-08-01	2391.7	0.59				269.0
2006-09-01	2401.6	1.41				270.8
2006-10-01	2405.2	1.07				269.3
2006-11-01	2436.8	2.00				270.2
2006-12-01	2462.9	1.41				270.9
2007-01-01	2415.3	2.62	35.402552188345000	21.40	755.42	265.2
